LakeID,Param,Value
SGL128,DOC,16
SGL128,ODO,83
SGL128,pH,5.98
SGL128,Cond,86.6
SGL128,Sal,0.04
SGL128,Temp,20.4
SGL128,LOI,77.92553191489468
SGL128,SandGrains,0
SGL129,Latitude,46.9319
SGL129,Longitude,-55.57756
SGL129,Depth,1.7
SGL129,Area,0.9
SGL129,DistanceToTheSea,1140.37
SGL129,N,0.8
SGL129,P,0.011
SGL129,SiO2,1.2
SGL129,DOC,17
SGL129,ODO,91.2
SGL129,pH,6.34
SGL129,Cond,37.4
SGL129,Sal,0.02
SGL129,Temp,20
SGL129,LOI,35.98978288633416
SGL129,SandGrains,2
SGL25,Latitude,46.87645
SGL25,Longitude,-55.86106
SGL25,Depth,0.95
SGL25,Area,5.5
SGL25,DistanceToTheSea,28.13
SGL25,N,0.6
SGL25,P,0.023
SGL25,SiO2,0.1
SGL25,DOC,11
SGL25,ODO,98
SGL25,pH,6.22
SGL25,Cond,3103.8
SGL25,Sal,1.76
SGL25,Temp,21.22
SGL25,LOI,86.56945510360819
SGL25,SandGrains,0
SGL100,Latitude,46.87605
SGL100,Longitude,-55.85214
SGL100,Depth,0.35
SGL100,Area,0.09
SGL100,DistanceToTheSea,23
SGL100,N,2
SGL100,P,0.06
SGL100,SiO2,1
SGL100,DOC,62
SGL100,ODO,87.5
SGL100,pH,5.96
SGL100,Cond,177.9
SGL100,Sal,0.08
SGL100,Temp,24.5
SGL100,LOI,78.6929884275009
SGL100,SandGrains,0
SGL26,Latitude,46.88102
SGL26,Longitude,-55.86708
SGL26,Depth,0.8
SGL26,Area,9.3
SGL26,DistanceToTheSea,17
SGL26,N,0.5
SGL26,P,0.008
SGL26,SiO2,2.2
SGL26,DOC,10
SGL26,ODO,100.6
SGL26,pH,6.7
SGL26,Cond,185
SGL26,Sal,0.09
SGL26,Temp,19.5
SGL26,LOI,3.4643467453784824
SGL26,SandGrains,15912
